target,length,n_motif,n_esmf,sc_rmsd_total,sc_rmsd_motif,sc_rmsd_scaffold
1a3z_A_39_78,150,40,8,21.062875986099243,15.985769867897034,20.518753051757812
1a3z_A_48_102,150,40,8,18.33818244934082,17.02650761604309,17.764676928520203
1aac_A_16_56,105,40,8,20.56599712371826,14.73476779460907,20.547295212745667
1aac_A_19_59,105,40,8,22.302968740463257,19.014166831970215,21.755988121032715
1aaj_A_14_73,105,40,8,17.332173228263855,16.028667211532593,18.015120148658752
1aaj_A_8_65,105,40,8,18.000921607017517,17.05074977874756,16.219396352767944
1aan_A_25_73,105,40,8,15.569106221199036,14.466240525245667,15.69483733177185
1aan_A_34_74,105,40,8,19.81180167198181,19.18503999710083,19.444984912872314
1acx_A_11_64,108,40,8,15.488502860069275,13.845024704933167,15.769551396369934
1acx_A_5_58,108,40,8,14.732973217964172,11.392212986946106,15.378978848457336
1agi_A_21_80,125,40,8,17.6882381439209,15.311922311782837,15.512889862060547
1agi_A_5_89,125,40,8,16.817396879196167,13.083233714103699,17.18668532371521
1b11_A_13_65,113,40,8,19.327130913734436,12.721161127090454,16.902454257011414
1b11_A_25_70,113,40,8,20.515472412109375,14.147441506385803,21.20355522632599
1b1e_A_20_60,123,40,8,25.959513902664185,17.049987077713013,27.61052894592285
1b1e_A_23_91,123,40,8,20.413429260253906,18.24754810333252,20.49961245059967
1b1i_A_25_87,122,40,8,19.66577112674713,15.952805161476135,19.03055429458618
1b1i_A_44_92,122,40,8,19.611941933631897,18.764698386192322,18.29355013370514
1b1j_A_18_75,123,40,8,18.864692211151123,12.068207859992981,18.415233731269836
1b1j_A_41_91,123,40,8,15.70565640926361,8.967335879802704,16.132357835769653
1b68_A_32_85,138,40,8,22.950356483459473,12.323496699333191,22.999088287353516
1b68_A_7_57,138,40,8,20.444552659988403,15.866171956062317,20.30104684829712
1bxa_A_14_57,105,40,8,23.496347427368164,18.134706020355225,24.706437826156616
1bxa_A_7_79,105,40,8,16.805224061012268,14.671222150325775,15.346735835075378
1bz4_A_17_118,144,40,8,20.862849235534668,16.343310832977295,20.442611813545227
1bz4_A_36_103,144,40,8,20.577635526657104,17.070754647254944,19.877025842666626
1c6r_A_6_54,88,40,8,10.246464788913727,9.711561098694801,10.253755629062653
1c6r_A_6_62,88,40,8,17.01468300819397,18.6374568939209,15.07348346710205
1ccz_A_16_58,171,40,8,22.432068824768066,15.30595749616623,23.334808111190796
